date,year,month,day,extended,country,country_txt,region,region_txt,State,city,latitude,longitude,multiple,success,suicide,attacktype1,attacktype1_txt,target_type,target_subtype,corp,target,nationality,group_name,gun_certain,weapon_type,weapon_subtype,no_killed,no_wounded
1992-05-21,1992,May,Thu,0,147,Nigeria,11,Sub-Saharan Africa,Lagos,Lagos,6.618911,3.305532,0,0,0,2,Armed Assault,Business,Unknown,Unknown,Yorba Traders in Idomuta Market,Nigeria,Igbo tribal group,0,Melee,Knife or Other Sharp Object,0,0
1992-05-28,1992,May,Thu,1,147,Nigeria,11,Sub-Saharan Africa,Lagos,Lagos,6.618911,3.305532,0,1,0,6,Hostage Taking (Kidnapping),Business,Industrial/Textiles/Factory,Food Processing Co (U.K.),U.K. Businessman,Great Britain,Unknown,0,Firearms,Handgun,0,0
1992-12-20,1992,Dec,Sun,0,147,Nigeria,11,Sub-Saharan Africa,Lagos,Lagos,6.618911,3.305532,0,0,0,1,Assassination,Government (Diplomatic),"Diplomatic Personnel (outside of embassy, consulate)",Australian State Dept,"Robin Cox, Admin. Officer, Austrailian Embassy",Australia,Unknown,0,Firearms,Handgun,0,1
1994-02-09,1994,Feb,Wed,0,147,Nigeria,11,Sub-Saharan Africa,Bayelsa,Brass area,4.31195,6.24629,0,1,0,2,Armed Assault,Maritime,Unknown,Unknown,Riverboat,Nigeria,Unknown,0,Firearms,Automatic or Semi-Automatic Rifle,13,0
1994-05-12,1994,May,Thu,0,147,Nigeria,11,Sub-Saharan Africa,Cross River,Calabar district,4.950354,8.324763,0,1,0,2,Armed Assault,Military,Military Unit/Patrol/Convoy,Military,Unit,Nigeria,Unknown,0,Firearms,Automatic or Semi-Automatic Rifle,2,0
1994-08-13,1994,Aug,Sat,0,147,Nigeria,11,Sub-Saharan Africa,Lagos,Lagos,6.618911,3.305532,0,1,0,3,Bombing/Explosion,Government (General),"Government Personnel (excluding police, military)",Ministry of transport and aviation,home of minister Ebenezer Babatope,Nigeria,Council for Popular Justice,0,Explosives,Unknown Explosive Type,0,0
1994-08-13,1994,Aug,Sat,0,147,Nigeria,11,Sub-Saharan Africa,Lagos,Lagos,6.618911,3.305532,0,1,0,3,Bombing/Explosion,Government (General),"Government Personnel (excluding police, military)",Ministry of Works and Housing,Home of minister,Nigeria,Council for Popular Justice,0,Explosives,Unknown Explosive Type,0,0
1994-09-02,1994,Sep,Fri,0,147,Nigeria,11,Sub-Saharan Africa,Abuja,Abuja,9.066547,7.483243,0,1,0,3,Bombing/Explosion,Government (General),Politician or Political Party Movement/Meeting/Rally,National Constitutional Conf.,Home ofDelegate Dr. Moyiwa Oladim Eji,Nigeria,Unknown,0,Explosives,Unknown Explosive Type,0,0
1994-09-19,1994,Sep,Mon,0,147,Nigeria,11,Sub-Saharan Africa,Lagos,Lagos,6.618911,3.305532,0,1,0,7,Facility/Infrastructure Attack,Government (General),"Government Personnel (excluding police, military)",National Democratic Coalition (NADECO),apartment of NADECO Secretary Gemedal Ayo Opadokun,Nigeria,Unknown,0,Incendiary,Unknown Weapon Type,0,0
1994-09-28,1994,Sep,Wed,0,147,Nigeria,11,Sub-Saharan Africa,Kaduna,Kaduna,10.530204,7.437338,0,1,0,3,Bombing/Explosion,Government (General),Government Building/Facility/Office,Govt Media,Building Housing two Govt Media Organizations,Nigeria,Unknown,0,Explosives,Unknown Explosive Type,0,0
1994-09-30,1994,Sep,Fri,0,147,Nigeria,11,Sub-Saharan Africa,Kaduna,Kaduna,10.530204,7.437338,0,1,0,3,Bombing/Explosion,Government (General),Government Building/Facility/Office,Northern Nigeria Development Co. - Govt.,NNDC offices,Nigeria,Unknown,0,Explosives,Unknown Explosive Type,0,0
1995-10-06,1995,Oct,Fri,0,147,Nigeria,11,Sub-Saharan Africa,Lagos,Lagos,6.618911,3.305532,0,1,0,1,Assassination,Government (General),Politician or Political Party Movement/Meeting/Rally,Unknown,Politician,Nigeria,Unknown,0,Firearms,Unknown Gun Type,1,0
1996-01-17,1996,Jan,Wed,0,147,Nigeria,11,Sub-Saharan Africa,Kano,Kano,11.974328,8.50026,0,1,0,3,Bombing/Explosion,Government (General),Head of State,Unknown,Aircraft (Presidential),Nigeria,United Front for Nigeria's Liberation (UFNL),0,Explosives,Unknown Explosive Type,14,0
1996-01-18,1996,Jan,Thu,0,147,Nigeria,11,Sub-Saharan Africa,Kaduna,Kabuna,10.530204,7.437338,0,1,0,3,Bombing/Explosion,Business,Hotel/Resort,Unknown,Hotel,Nigeria,Unknown,0,Explosives,Unknown Explosive Type,1,0
1996-02-02,1996,Feb,Fri,0,147,Nigeria,11,Sub-Saharan Africa,Lagos,Lagos,6.618911,3.305532,0,0,0,1,Assassination,Journalists & Media,Newspaper Journalist/Staff/Facility,"""The Guardian"" Newspaper",Newspaper editor,Nigeria,Unknown,0,Firearms,Unknown Gun Type,0,1
1996-04-13,1996,Apr,Sat,0,147,Nigeria,11,Sub-Saharan Africa,Lagos,Lagos,6.618911,3.305532,0,1,0,3,Bombing/Explosion,Military,Military Barracks/Base/Headquarters/Checkpost,Unknown,Army Barracks,Nigeria,Unknown,0,Explosives,Unknown Explosive Type,2,0
1996-05-01,1996,May,Wed,0,147,Nigeria,11,Sub-Saharan Africa,Lagos,Lagos,6.618911,3.305532,0,1,0,2,Armed Assault,Military,"Military Personnel (soldiers, troops, officers, forces)",Unknown,Home of Exiled General,Nigeria,Unknown,0,Incendiary,Unknown Weapon Type,0,0
1996-05-23,1996,May,Thu,0,147,Nigeria,11,Sub-Saharan Africa,Lagos,Lagos,6.618911,3.305532,0,1,0,1,Assassination,Business,Bank/Commerce,Unknown,Adm Dir Central Bank,Nigeria,Unknown,0,Firearms,Unknown Gun Type,1,0
1996-05-31,1996,May,Fri,0,147,Nigeria,11,Sub-Saharan Africa,Kaduna,Kabuna,10.530204,7.437338,0,1,0,3,Bombing/Explosion,Business,Industrial/Textiles/Factory,Unknown,Weapons Plant,Nigeria,Unknown,0,Explosives,Unknown Explosive Type,1,0
1996-06-04,1996,Jun,Tue,0,147,Nigeria,11,Sub-Saharan Africa,Lagos,Lagos,6.618911,3.305532,0,1,0,1,Assassination,Government (General),"Government Personnel (excluding police, military)",Unknown,Wife of Presidential Claimant *,Nigeria,Unknown,0,Firearms,Unknown Gun Type,2,0
1996-11-14,1996,Nov,Thu,0,147,Nigeria,11,Sub-Saharan Africa,Lagos,Lagos,6.618911,3.305532,0,1,0,3,Bombing/Explosion,Unknown,Unknown,Unk,Unk,Nigeria,Unknown,0,Explosives,Unknown Explosive Type,3,0
1996-12-16,1996,Dec,Mon,0,147,Nigeria,11,Sub-Saharan Africa,Lagos,Lagos,6.618911,3.305532,0,0,0,1,Assassination,Military,"Military Personnel (soldiers, troops, officers, forces)",Unknown,Military Administrator of Lagos,Nigeria,Unknown,0,Explosives,Unknown Explosive Type,0,2
1996-12-18,1996,Dec,Wed,0,147,Nigeria,11,Sub-Saharan Africa,Lagos,Lagos,6.618911,3.305532,0,1,0,3,Bombing/Explosion,Transportation,Bus (excluding tourists),Unknown,Bus,Nigeria,Unknown,0,Explosives,Unknown Explosive Type,0,12
1997-01-04,1997,Jan,Sat,0,147,Nigeria,11,Sub-Saharan Africa,Lagos,Lagoa,6.618911,3.305532,0,0,0,2,Armed Assault,Government (General),Politician or Political Party Movement/Meeting/Rally,National Democratic Coalition,Opposition Leader,Nigeria,Unknown,0,Firearms,Unknown Gun Type,0,1
1997-01-07,1997,Jan,Tue,0,147,Nigeria,11,Sub-Saharan Africa,Lagos,Lagos,6.618911,3.305532,0,1,0,3,Bombing/Explosion,Military,Military Transportation/Vehicle (excluding convoys),Unknown,Military personnel on bus,Nigeria,Unknown,0,Explosives,Unknown Explosive Type,1,15
1997-02-12,1997,Feb,Wed,0,147,Nigeria,11,Sub-Saharan Africa,Lagos,Lagos,6.618911,3.305532,0,1,0,3,Bombing/Explosion,Military,Military Transportation/Vehicle (excluding convoys),Unknown,Military Bus,Nigeria,Unknown,0,Explosives,Unknown Explosive Type,0,8
1997-03-11,1997,Mar,Tue,1,147,Nigeria,11,Sub-Saharan Africa,Unknown,Unknown,0.0,0.0,0,1,0,6,Hostage Taking (Kidnapping),Business,Multinational Corporation,ETPM French Oil Field Services Corporation,Oil Barge 16 Frenchmen,France,Unknown,0,Unknown,Unknown Weapon Type,0,0
1997-05-07,1997,May,Wed,0,147,Nigeria,11,Sub-Saharan Africa,Lagos,Lagos,6.618911,3.305532,0,1,0,3,Bombing/Explosion,Military,Military Transportation/Vehicle (excluding convoys),Government,Miliatary Bus,Nigeria,Unknown,0,Explosives,Unknown Explosive Type,0,5
1997-05-12,1997,May,Mon,0,147,Nigeria,11,Sub-Saharan Africa,Oyo,Ibadan,7.396389,3.916667,0,1,0,3,Bombing/Explosion,Military,Military Transportation/Vehicle (excluding convoys),Unknown,Military Transport,Nigeria,Unknown,0,Explosives,Unknown Explosive Type,0,0
1997-05-16,1997,May,Fri,0,147,Nigeria,11,Sub-Saharan Africa,Anambra,Onitcha,6.166667,6.783333,0,1,0,3,Bombing/Explosion,Unknown,Unknown,Unknown,Unknown (parking lot),Nigeria,Unknown,0,Explosives,Unknown Explosive Type,1,0
1997-05-16,1997,May,Fri,0,147,Nigeria,11,Sub-Saharan Africa,Anambra,Onitsha,6.166667,6.783333,0,1,0,3,Bombing/Explosion,Religious Figures/Institutions,Place of Worship,Unknown,Mosque/??,Nigeria,Unknown,0,Explosives,Unknown Explosive Type,4,3
1997-08-06,1997,Aug,Wed,0,147,Nigeria,11,Sub-Saharan Africa,Rivers,Port Harcourt,4.78482,7.00545,0,1,0,3,Bombing/Explosion,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,Explosives,Unknown Explosive Type,1,2
1997-08-15,1997,Aug,Fri,0,147,Nigeria,11,Sub-Saharan Africa,Lagos,Lagos,6.618911,3.305532,0,0,0,3,Bombing/Explosion,Private Citizens & Property,Marketplace/Plaza/Square,Unknown,Market,Nigeria,Unknown,0,Explosives,Unknown Explosive Type,0,0
1997-08-20,1997,Aug,Wed,0,147,Nigeria,11,Sub-Saharan Africa,Osun,Ife,7.466666,4.566667,1,1,0,2,Armed Assault,Private Citizens & Property,Village/City/Town/Suburb,Ife Ethnics,Town,Nigeria,Modakeke Ethnics,0,Firearms,Unknown Gun Type,16,0
1997-08-20,1997,Aug,Wed,0,147,Nigeria,11,Sub-Saharan Africa,Osun,Ife,7.466666,4.566667,1,1,0,2,Armed Assault,Private Citizens & Property,Village/City/Town/Suburb,Ife Ethnics,Town,Nigeria,Modakeke Ethnics,0,Firearms,Unknown Gun Type,16,0
1997-08-20,1997,Aug,Wed,0,147,Nigeria,11,Sub-Saharan Africa,Osun,Ife,7.466666,4.566667,1,1,0,2,Armed Assault,Private Citizens & Property,Village/City/Town/Suburb,Ife Ethnics,Town,Nigeria,Modakeke Ethnics,0,Firearms,Unknown Gun Type,16,0
1997-08-20,1997,Aug,Wed,0,147,Nigeria,11,Sub-Saharan Africa,Osun,Ife,7.466666,4.566667,1,1,0,2,Armed Assault,Private Citizens & Property,Village/City/Town/Suburb,Ife Ethnics,Town,Nigeria,Modakeke Ethnics,0,Firearms,Unknown Gun Type,16,0
1997-09-02,1997,Sep,Tue,0,147,Nigeria,11,Sub-Saharan Africa,Ekiti,Ado-Ekiti,7.620713,5.218291,0,1,0,3,Bombing/Explosion,Military,Military Unit/Patrol/Convoy,Government,Convoy of military governor,Nigeria,Unknown,0,Explosives,Unknown Explosive Type,0,7
1997-09-17,1997,Sep,Wed,0,147,Nigeria,11,Sub-Saharan Africa,Delta,Warri,5.52372,5.753167,0,1,0,6,Hostage Taking (Kidnapping),Military,"Military Personnel (soldiers, troops, officers, forces)",Government,Soldiers,Nigeria,Unknown,0,Unknown,Unknown Weapon Type,1,0
1997-09-19,1997,Sep,Fri,0,147,Nigeria,11,Sub-Saharan Africa,Lagos,Lagos,6.618911,3.305532,0,1,0,3,Bombing/Explosion,Religious Figures/Institutions,Unknown,Roman Catholic Church,Roman Catholic convention attendees,Nigeria,Unknown,0,Explosives,Unknown Explosive Type,0,10
1997-09-25,1997,Sep,Thu,0,147,Nigeria,11,Sub-Saharan Africa,Ondo,Ondo,6.845507,4.907767,0,1,0,3,Bombing/Explosion,Government (General),"Government Personnel (excluding police, military)",Government,Residence of Official,Nigeria,Unknown,0,Explosives,Unknown Explosive Type,0,0
1997-12-02,1997,Dec,Tue,0,147,Nigeria,11,Sub-Saharan Africa,Osun,Ife,7.466666,4.566667,0,1,0,2,Armed Assault,Private Citizens & Property,Protester,Ife Ethinics,activists,Nigeria,Modakeke Ethnic Activists,0,Firearms,Unknown Gun Type,20,0
1997-12-06,1997,Dec,Sat,0,147,Nigeria,11,Sub-Saharan Africa,Osun,Ife,7.466666,4.566667,0,1,0,2,Armed Assault,Private Citizens & Property,Protester,Ife Ethnics,Activists,Nigeria,Modakeke Ethnic Activists,0,Firearms,Unknown Gun Type,15,0
1998-04-24,1998,Apr,Fri,0,147,Nigeria,11,Sub-Saharan Africa,Osun,Ife,7.479776,4.563863,1,1,0,3,Bombing/Explosion,Private Citizens & Property,Unnamed Civilian/Unspecified,Civilians,"Residents of Ile-Ife, Nigeria",Nigeria,Unknown,0,Explosives,Unknown Explosive Type,5,0
1998-04-24,1998,Apr,Fri,0,147,Nigeria,11,Sub-Saharan Africa,Lagos,Lagos,6.522612,3.378704,1,1,0,3,Bombing/Explosion,Private Citizens & Property,Unnamed Civilian/Unspecified,Civilians,"Residents of Lagos, Nigeria",Nigeria,Unknown,0,Explosives,Unknown Explosive Type,4,0
1999-02-09,1999,Feb,Tue,1,147,Nigeria,11,Sub-Saharan Africa,Unknown,Unknown,0.0,0.0,0,1,0,6,Hostage Taking (Kidnapping),Business,Gas/Oil/Electric,Civilian,British Oil Worker,Great Britain,Unknown,0,Unknown,Unknown Weapon Type,0,0
1999-02-14,1999,Feb,Sun,1,147,Nigeria,11,Sub-Saharan Africa,Unknown,Unknown,0.0,0.0,0,1,0,6,Hostage Taking (Kidnapping),Business,Gas/Oil/Electric,Shell Oil,British Shell Oil Worker,Great Britain,Unknown,0,Unknown,Unknown Weapon Type,0,0
1999-04-05,1999,Apr,Mon,0,147,Nigeria,11,Sub-Saharan Africa,Delta,Unknown,9.457709,7.864447,0,1,0,2,Armed Assault,Business,Gas/Oil/Electric,Shell Petroleum Development Company (SPDC) of Nigeria Limited,Shell Oil facilities in the Niger Delta,Netherlands,Association of Mobil Spill Affected Communities (AMSAC),0,Unknown,Unknown Weapon Type,0,0
1999-06-19,1999,Jun,Sat,1,147,Nigeria,11,Sub-Saharan Africa,Delta,Kantu,5.432803,5.350531,0,1,0,2,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,Town of Kantu,"Civilians and Property in Kantu, an Itsekiri community",Nigeria,Ijaw extremists,1,Incendiary,Arson/Fire,5,0
1999-06-19,1999,Jun,Sat,1,147,Nigeria,11,Sub-Saharan Africa,Taraba,Unknown,7.73173,10.816375,0,1,0,2,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,Civilians,"Civilians in Taraba state, primarily mothers and babies",Nigeria,Unknown,1,Melee,Knife or Other Sharp Object,100,200
1999-06-27,1999,Jun,Sun,1,147,Nigeria,11,Sub-Saharan Africa,Rivers,Port Harcourt,4.814953,7.040777,0,1,0,6,Hostage Taking (Kidnapping),Business,Gas/Oil/Electric,Shell Oil Company,Employees of Shell Oil,International,Unknown,0,Unknown,Unknown Weapon Type,0,0
1999-07-08,1999,Jul,Thu,0,147,Nigeria,11,Sub-Saharan Africa,Unknown,Egwa,0.0,0.0,0,1,0,6,Hostage Taking (Kidnapping),Business,Gas/Oil/Electric,Shell Oil Company,"Employees of Shell in Egwa, Nigeria",United States,Unknown,0,Unknown,Unknown Weapon Type,0,0
1999-07-20,1999,Jul,Tue,1,147,Nigeria,11,Sub-Saharan Africa,Unknown,Osoko,0.0,0.0,0,1,0,7,Facility/Infrastructure Attack,Business,Gas/Oil/Electric,Royal Dutch Shell PLC,Royal Dutch Shell Oil Rig,Multinational,Unknown,0,Unknown,Unknown Weapon Type,0,0
1999-10-08,1999,Oct,Fri,1,147,Nigeria,11,Sub-Saharan Africa,Unknown,Unknown,0.0,0.0,0,1,0,7,Facility/Infrastructure Attack,Business,Gas/Oil/Electric,U.S. Oil Company,Unnamed U.S. oil company compound in Nigeria,United States,Unknown,0,Firearms,Unknown Gun Type,0,8
1999-10-30,1999,Oct,Sat,1,147,Nigeria,11,Sub-Saharan Africa,Delta,Warri,5.52372,5.753167,0,1,0,6,Hostage Taking (Kidnapping),Business,Gas/Oil/Electric,Royal Dutch Shell PLC,Royal Dutch Shell helicopter,Multinational,Unknown,0,Unknown,Unknown Weapon Type,0,0
1999-11-01,1999,Nov,Mon,1,147,Nigeria,11,Sub-Saharan Africa,Rivers,Bonny,4.434049,7.17049,0,1,0,7,Facility/Infrastructure Attack,Maritime,Commercial Maritime,Unknown,American-owned Ship,United States,Unknown,0,Firearms,Unknown Gun Type,0,0
1999-11-04,1999,Nov,Thu,1,147,Nigeria,11,Sub-Saharan Africa,Bayelsa,Ijaw,4.455751,6.271438,0,1,0,6,Hostage Taking (Kidnapping),Police,Police Security Forces/Officers,Nigerian police,"Members of the Yenagoa police force, including: Thomas Jokotola, George Nwine, Emmanuel Bako, Ayuba Silas, Robinson Obeize, Elias Bitrus and Shuaib Zamani",Nigeria,Ijaw extremists,0,Unknown,Unknown Weapon Type,7,0
1999-11-08,1999,Nov,Mon,1,147,Nigeria,11,Sub-Saharan Africa,Delta,Escravos,5.609324,5.193384,0,1,0,7,Facility/Infrastructure Attack,Maritime,Commercial Maritime,Unknown,Belize-owned Ship,Belize,Unknown,0,Melee,Knife or Other Sharp Object,0,0
1999-11-13,1999,Nov,Sat,1,147,Nigeria,11,Sub-Saharan Africa,Delta,Warri,5.52372,5.753167,1,1,0,6,Hostage Taking (Kidnapping),Private Citizens & Property,Unnamed Civilian/Unspecified,Civilians,"18 Itsekiri boat passengers traveling from Ogheye to Sapele, Nigeria",Nigeria,Ijaw extremists,0,Firearms,Unknown Gun Type,0,0
1999-11-13,1999,Nov,Sat,0,147,Nigeria,11,Sub-Saharan Africa,Delta,Warri,5.52372,5.753167,1,1,0,2,Armed Assault,Private Citizens & Property,House/Apartment/Residence,Federated Niger Delta Ijaw Communities (FNDIC),"Dan Ekpebide, President of the Federated Niger Delta Ijaw Communities (FNDIC)",Nigeria,Ijaw extremists,0,Firearms,Unknown Gun Type,0,1
1999-11-13,1999,Nov,Sat,0,147,Nigeria,11,Sub-Saharan Africa,Delta,Unknown,9.457709,7.864447,1,1,0,2,Armed Assault,Military,"Military Personnel (soldiers, troops, officers, forces)",Nigerian Army,Nigerian Army Soldiers,Nigeria,Egbesu Youths of the Bayelsa,0,Firearms,Automatic or Semi-Automatic Rifle,12,0
1999-11-13,1999,Nov,Sat,0,147,Nigeria,11,Sub-Saharan Africa,Delta,Unknown,9.457709,7.864447,1,1,0,2,Armed Assault,Military,"Military Personnel (soldiers, troops, officers, forces)",Nigerian Army,Nigerian Army Soldiers,Nigeria,Egbesu Youths of the Bayelsa,1,Firearms,Automatic or Semi-Automatic Rifle,10,0
1999-11-15,1999,Nov,Mon,0,147,Nigeria,11,Sub-Saharan Africa,Delta,Ekakpamre,5.495427,5.911085,0,1,0,9,Unknown,Business,Gas/Oil/Electric,Shell Oil Company,Shell Oil Ekakpamre Facility,Multinational,Unknown,0,Unknown,Unknown Weapon Type,0,0
2000-01-04,2000,Jan,Tue,0,147,Nigeria,11,Sub-Saharan Africa,Lagos,Lagos,6.520917,3.379534,0,1,0,8,Unarmed Assault,Police,Police Security Forces/Officers,Nigerian government,Nigerian police officers.,Nigeria,Odua Peoples' Congress (OPC),0,Chemical,Unknown Weapon Type,0,2
2000-03-14,2000,Mar,Tue,1,147,Nigeria,11,Sub-Saharan Africa,Lagos,Lagos,6.520917,3.379534,0,1,0,7,Facility/Infrastructure Attack,Business,Gas/Oil/Electric,Shell Oil Company,Shell Oil Company building and employees,Multinational,Unknown,0,Firearms,Unknown Gun Type,0,0
2000-04-07,2000,Apr,Fri,0,147,Nigeria,11,Sub-Saharan Africa,Rivers,Port Harcourt,4.827794,7.053577,0,1,0,6,Hostage Taking (Kidnapping),Private Citizens & Property,Race/Ethnicity Identified,Civilians,British Citizens living in residences owned by Elf Aquitaine Oil Company,Great Britain,Unknown,0,Firearms,Unknown Gun Type,0,0
2000-04-14,2000,Apr,Fri,1,147,Nigeria,11,Sub-Saharan Africa,Delta,Warri,5.52372,5.753167,0,1,0,6,Hostage Taking (Kidnapping),Business,Gas/Oil/Electric,Noble Drilling Oil Company,Noble Drilling Oil Company Employees,Nigeria,Unknown,0,Firearms,Unknown Gun Type,0,0
2000-06-18,2000,Jun,Sun,1,147,Nigeria,11,Sub-Saharan Africa,Delta,Escravos,5.60865,5.195451,0,1,0,6,Hostage Taking (Kidnapping),Private Citizens & Property,Laborer (General)/Occupation Identified,Civilians,Nigerian Oil Workers,Nigeria,Unknown,0,Unknown,Unknown Weapon Type,0,0
2000-07-31,2000,Jul,Mon,1,147,Nigeria,11,Sub-Saharan Africa,Unknown,Unknown,0.0,0.0,0,1,0,6,Hostage Taking (Kidnapping),Business,Gas/Oil/Electric,Shell Oil,Shell Oil Workers,Multinational,Unknown,0,Unknown,Unknown Weapon Type,0,0
2001-06-10,2001,Jun,Sun,0,147,Nigeria,11,Sub-Saharan Africa,Bayelsa,Unknown,4.787538,6.083439,0,1,0,3,Bombing/Explosion,Government (General),Politician or Political Party Movement/Meeting/Rally,Bayelsa state assembly,Bayelsa state assembly offices,Nigeria,Unknown,0,Explosives,Unknown Explosive Type,0,2
