date,year,month,day,State,city,latitude,longitude,suicide,attacktype1_txt,target_type,target_subtype,target,group_name,weapon_type,weapon_subtype,no_killed,no_wounded
5/12/1994,1994,May,Thu,Cross River,Calabar district,4.950354,8.324763,0,Armed Assault,Military,Military Unit/Patrol/Convoy,Unit,Unknown,Firearms,Automatic or Semi-Automatic Rifle,2,0
8/13/1994,1994,Aug,Sat,Lagos,Lagos,6.618911,3.305532,0,Bombing/Explosion,Government (General),"Government Personnel (excluding police, military)",home of minister Ebenezer Babatope,Council for Popular Justice,Explosives,Unknown Explosive Type,0,0
8/13/1994,1994,Aug,Sat,Lagos,Lagos,6.618911,3.305532,0,Bombing/Explosion,Government (General),"Government Personnel (excluding police, military)",Home of minister,Council for Popular Justice,Explosives,Unknown Explosive Type,0,0
9/2/1994,1994,Sep,Fri,Abuja,Abuja,9.066547,7.483243,0,Bombing/Explosion,Government (General),Politician or Political Party Movement/Meeting/Rally,Home ofDelegate Dr. Moyiwa Oladim Eji,Unknown,Explosives,Unknown Explosive Type,0,0
9/19/1994,1994,Sep,Mon,Lagos,Lagos,6.618911,3.305532,0,Facility/Infrastructure Attack,Government (General),"Government Personnel (excluding police, military)",apartment of NADECO Secretary Gemedal Ayo Opadokun,Unknown,Incendiary,Unknown Weapon Type,0,0
9/28/1994,1994,Sep,Wed,Kaduna,Kaduna,10.530204,7.437338,0,Bombing/Explosion,Government (General),Government Building/Facility/Office,Building Housing two Govt Media Organizations,Unknown,Explosives,Unknown Explosive Type,0,0
9/30/1994,1994,Sep,Fri,Kaduna,Kaduna,10.530204,7.437338,0,Bombing/Explosion,Government (General),Government Building/Facility/Office,NNDC offices,Unknown,Explosives,Unknown Explosive Type,0,0
10/6/1995,1995,Oct,Fri,Lagos,Lagos,6.618911,3.305532,0,Assassination,Government (General),Politician or Political Party Movement/Meeting/Rally,Politician,Unknown,Firearms,Unknown Gun Type,1,0
1/17/1996,1996,Jan,Wed,Kano,Kano,11.974328,8.50026,0,Bombing/Explosion,Government (General),Head of State,Aircraft (Presidential),United Front for Nigeria's Liberation (UFNL),Explosives,Unknown Explosive Type,14,0
1/18/1996,1996,Jan,Thu,Kaduna,Kabuna,10.530204,7.437338,0,Bombing/Explosion,Business,Hotel/Resort,Hotel,Unknown,Explosives,Unknown Explosive Type,1,0
2/2/1996,1996,Feb,Fri,Lagos,Lagos,6.618911,3.305532,0,Assassination,Journalists & Media,Newspaper Journalist/Staff/Facility,Newspaper editor,Unknown,Firearms,Unknown Gun Type,0,1
4/13/1996,1996,Apr,Sat,Lagos,Lagos,6.618911,3.305532,0,Bombing/Explosion,Military,Military Barracks/Base/Headquarters/Checkpost,Army Barracks,Unknown,Explosives,Unknown Explosive Type,2,0
5/1/1996,1996,May,Wed,Lagos,Lagos,6.618911,3.305532,0,Armed Assault,Military,"Military Personnel (soldiers, troops, officers, forces)",Home of Exiled General,Unknown,Incendiary,Unknown Weapon Type,0,0
5/23/1996,1996,May,Thu,Lagos,Lagos,6.618911,3.305532,0,Assassination,Business,Bank/Commerce,Adm Dir Central Bank,Unknown,Firearms,Unknown Gun Type,1,0
5/31/1996,1996,May,Fri,Kaduna,Kabuna,10.530204,7.437338,0,Bombing/Explosion,Business,Industrial/Textiles/Factory,Weapons Plant,Unknown,Explosives,Unknown Explosive Type,1,0
6/4/1996,1996,Jun,Tue,Lagos,Lagos,6.618911,3.305532,0,Assassination,Government (General),"Government Personnel (excluding police, military)",Wife of Presidential Claimant *,Unknown,Firearms,Unknown Gun Type,2,0
11/14/1996,1996,Nov,Thu,Lagos,Lagos,6.618911,3.305532,0,Bombing/Explosion,Unknown,Unknown,Unk,Unknown,Explosives,Unknown Explosive Type,3,0
12/16/1996,1996,Dec,Mon,Lagos,Lagos,6.618911,3.305532,0,Assassination,Military,"Military Personnel (soldiers, troops, officers, forces)",Military Administrator of Lagos,Unknown,Explosives,Unknown Explosive Type,0,2
12/18/1996,1996,Dec,Wed,Lagos,Lagos,6.618911,3.305532,0,Bombing/Explosion,Transportation,Bus (excluding tourists),Bus,Unknown,Explosives,Unknown Explosive Type,0,12
1/4/1997,1997,Jan,Sat,Lagos,Lagoa,6.618911,3.305532,0,Armed Assault,Government (General),Politician or Political Party Movement/Meeting/Rally,Opposition Leader,Unknown,Firearms,Unknown Gun Type,0,1
1/7/1997,1997,Jan,Tue,Lagos,Lagos,6.618911,3.305532,0,Bombing/Explosion,Military,Military Transportation/Vehicle (excluding convoys),Military personnel on bus,Unknown,Explosives,Unknown Explosive Type,1,15
2/12/1997,1997,Feb,Wed,Lagos,Lagos,6.618911,3.305532,0,Bombing/Explosion,Military,Military Transportation/Vehicle (excluding convoys),Military Bus,Unknown,Explosives,Unknown Explosive Type,0,8
3/11/1997,1997,Mar,Tue,Unknown,Unknown,0,0,0,Hostage Taking (Kidnapping),Business,Multinational Corporation,Oil Barge 16 Frenchmen,Unknown,Unknown,Unknown Weapon Type,0,0
5/7/1997,1997,May,Wed,Lagos,Lagos,6.618911,3.305532,0,Bombing/Explosion,Military,Military Transportation/Vehicle (excluding convoys),Miliatary Bus,Unknown,Explosives,Unknown Explosive Type,0,5
5/12/1997,1997,May,Mon,Oyo,Ibadan,7.396389,3.916667,0,Bombing/Explosion,Military,Military Transportation/Vehicle (excluding convoys),Military Transport,Unknown,Explosives,Unknown Explosive Type,0,0
5/16/1997,1997,May,Fri,Anambra,Onitcha,6.166667,6.783333,0,Bombing/Explosion,Unknown,Unknown,Unknown (parking lot),Unknown,Explosives,Unknown Explosive Type,1,0
5/16/1997,1997,May,Fri,Anambra,Onitsha,6.166667,6.783333,0,Bombing/Explosion,Religious Figures/Institutions,Place of Worship,Mosque/??,Unknown,Explosives,Unknown Explosive Type,4,3
8/6/1997,1997,Aug,Wed,Rivers,Port Harcourt,4.78482,7.00545,0,Bombing/Explosion,Unknown,Unknown,Unknown,Unknown,Explosives,Unknown Explosive Type,1,2
8/15/1997,1997,Aug,Fri,Lagos,Lagos,6.618911,3.305532,0,Bombing/Explosion,Private Citizens & Property,Marketplace/Plaza/Square,Market,Unknown,Explosives,Unknown Explosive Type,0,0
8/20/1997,1997,Aug,Wed,Osun,Ife,7.466666,4.566667,0,Armed Assault,Private Citizens & Property,Village/City/Town/Suburb,Town,Modakeke Ethnics,Firearms,Unknown Gun Type,16,0
8/20/1997,1997,Aug,Wed,Osun,Ife,7.466666,4.566667,0,Armed Assault,Private Citizens & Property,Village/City/Town/Suburb,Town,Modakeke Ethnics,Firearms,Unknown Gun Type,16,0
8/20/1997,1997,Aug,Wed,Osun,Ife,7.466666,4.566667,0,Armed Assault,Private Citizens & Property,Village/City/Town/Suburb,Town,Modakeke Ethnics,Firearms,Unknown Gun Type,16,0
8/20/1997,1997,Aug,Wed,Osun,Ife,7.466666,4.566667,0,Armed Assault,Private Citizens & Property,Village/City/Town/Suburb,Town,Modakeke Ethnics,Firearms,Unknown Gun Type,16,0
9/2/1997,1997,Sep,Tue,Ekiti,Ado-Ekiti,7.620713,5.218291,0,Bombing/Explosion,Military,Military Unit/Patrol/Convoy,Convoy of military governor,Unknown,Explosives,Unknown Explosive Type,0,7
9/17/1997,1997,Sep,Wed,Delta,Warri,5.52372,5.753167,0,Hostage Taking (Kidnapping),Military,"Military Personnel (soldiers, troops, officers, forces)",Soldiers,Unknown,Unknown,Unknown Weapon Type,1,0
9/19/1997,1997,Sep,Fri,Lagos,Lagos,6.618911,3.305532,0,Bombing/Explosion,Religious Figures/Institutions,Unknown,Roman Catholic convention attendees,Unknown,Explosives,Unknown Explosive Type,0,10
9/25/1997,1997,Sep,Thu,Ondo,Ondo,6.845507,4.907767,0,Bombing/Explosion,Government (General),"Government Personnel (excluding police, military)",Residence of Official,Unknown,Explosives,Unknown Explosive Type,0,0
12/2/1997,1997,Dec,Tue,Osun,Ife,7.466666,4.566667,0,Armed Assault,Private Citizens & Property,Protester,activists,Modakeke Ethnic Activists,Firearms,Unknown Gun Type,20,0
12/6/1997,1997,Dec,Sat,Osun,Ife,7.466666,4.566667,0,Armed Assault,Private Citizens & Property,Protester,Activists,Modakeke Ethnic Activists,Firearms,Unknown Gun Type,15,0
4/24/1998,1998,Apr,Fri,Osun,Ife,7.479776,4.563863,0,Bombing/Explosion,Private Citizens & Property,Unnamed Civilian/Unspecified,"Residents of Ile-Ife, Nigeria",Unknown,Explosives,Unknown Explosive Type,5,0
4/24/1998,1998,Apr,Fri,Lagos,Lagos,6.522612,3.378704,0,Bombing/Explosion,Private Citizens & Property,Unnamed Civilian/Unspecified,"Residents of Lagos, Nigeria",Unknown,Explosives,Unknown Explosive Type,4,0
2/9/1999,1999,Feb,Tue,Unknown,Unknown,0,0,0,Hostage Taking (Kidnapping),Business,Gas/Oil/Electric,British Oil Worker,Unknown,Unknown,Unknown Weapon Type,0,0
2/14/1999,1999,Feb,Sun,Unknown,Unknown,0,0,0,Hostage Taking (Kidnapping),Business,Gas/Oil/Electric,British Shell Oil Worker,Unknown,Unknown,Unknown Weapon Type,0,0
4/5/1999,1999,Apr,Mon,Delta,Unknown,9.457709,7.864447,0,Armed Assault,Business,Gas/Oil/Electric,Shell Oil facilities in the Niger Delta,Association of Mobil Spill Affected Communities (AMSAC),Unknown,Unknown Weapon Type,0,0
6/19/1999,1999,Jun,Sat,Delta,Kantu,5.432803,5.350531,0,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,"Civilians and Property in Kantu, an Itsekiri community",Ijaw extremists,Incendiary,Arson/Fire,5,0
6/19/1999,1999,Jun,Sat,Taraba,Unknown,7.73173,10.816375,0,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,"Civilians in Taraba state, primarily mothers and babies",Unknown,Melee,Knife or Other Sharp Object,100,200
6/27/1999,1999,Jun,Sun,Rivers,Port Harcourt,4.814953,7.040777,0,Hostage Taking (Kidnapping),Business,Gas/Oil/Electric,Employees of Shell Oil,Unknown,Unknown,Unknown Weapon Type,0,0
7/8/1999,1999,Jul,Thu,Unknown,Egwa,0,0,0,Hostage Taking (Kidnapping),Business,Gas/Oil/Electric,"Employees of Shell in Egwa, Nigeria",Unknown,Unknown,Unknown Weapon Type,0,0
7/20/1999,1999,Jul,Tue,Unknown,Osoko,0,0,0,Facility/Infrastructure Attack,Business,Gas/Oil/Electric,Royal Dutch Shell Oil Rig,Unknown,Unknown,Unknown Weapon Type,0,0
10/8/1999,1999,Oct,Fri,Unknown,Unknown,0,0,0,Facility/Infrastructure Attack,Business,Gas/Oil/Electric,Unnamed U.S. oil company compound in Nigeria,Unknown,Firearms,Unknown Gun Type,0,8
10/30/1999,1999,Oct,Sat,Delta,Warri,5.52372,5.753167,0,Hostage Taking (Kidnapping),Business,Gas/Oil/Electric,Royal Dutch Shell helicopter,Unknown,Unknown,Unknown Weapon Type,0,0
11/1/1999,1999,Nov,Mon,Rivers,Bonny,4.434049,7.17049,0,Facility/Infrastructure Attack,Maritime,Commercial Maritime,American-owned Ship,Unknown,Firearms,Unknown Gun Type,0,0
11/4/1999,1999,Nov,Thu,Bayelsa,Ijaw,4.455751,6.271438,0,Hostage Taking (Kidnapping),Police,Police Security Forces/Officers,"Members of the Yenagoa police force, including: Thomas Jokotola, George Nwine, Emmanuel Bako, Ayuba Silas, Robinson Obeize, Elias Bitrus and Shuaib Zamani",Ijaw extremists,Unknown,Unknown Weapon Type,7,0
11/8/1999,1999,Nov,Mon,Delta,Escravos,5.609324,5.193384,0,Facility/Infrastructure Attack,Maritime,Commercial Maritime,Belize-owned Ship,Unknown,Melee,Knife or Other Sharp Object,0,0
11/13/1999,1999,Nov,Sat,Delta,Warri,5.52372,5.753167,0,Hostage Taking (Kidnapping),Private Citizens & Property,Unnamed Civilian/Unspecified,"18 Itsekiri boat passengers traveling from Ogheye to Sapele, Nigeria",Ijaw extremists,Firearms,Unknown Gun Type,0,0
11/13/1999,1999,Nov,Sat,Delta,Warri,5.52372,5.753167,0,Armed Assault,Private Citizens & Property,House/Apartment/Residence,"Dan Ekpebide, President of the Federated Niger Delta Ijaw Communities (FNDIC)",Ijaw extremists,Firearms,Unknown Gun Type,0,1
11/13/1999,1999,Nov,Sat,Delta,Unknown,9.457709,7.864447,0,Armed Assault,Military,"Military Personnel (soldiers, troops, officers, forces)",Nigerian Army Soldiers,Egbesu Youths of the Bayelsa,Firearms,Automatic or Semi-Automatic Rifle,12,0
11/13/1999,1999,Nov,Sat,Delta,Unknown,9.457709,7.864447,0,Armed Assault,Military,"Military Personnel (soldiers, troops, officers, forces)",Nigerian Army Soldiers,Egbesu Youths of the Bayelsa,Firearms,Automatic or Semi-Automatic Rifle,10,0
11/15/1999,1999,Nov,Mon,Delta,Ekakpamre,5.495427,5.911085,0,Unknown,Business,Gas/Oil/Electric,Shell Oil Ekakpamre Facility,Unknown,Unknown,Unknown Weapon Type,0,0
1/4/2000,2000,Jan,Tue,Lagos,Lagos,6.520917,3.379534,0,Unarmed Assault,Police,Police Security Forces/Officers,Nigerian police officers.,Odua Peoples' Congress (OPC),Chemical,Unknown Weapon Type,0,2
3/14/2000,2000,Mar,Tue,Lagos,Lagos,6.520917,3.379534,0,Facility/Infrastructure Attack,Business,Gas/Oil/Electric,Shell Oil Company building and employees,Unknown,Firearms,Unknown Gun Type,0,0
4/7/2000,2000,Apr,Fri,Rivers,Port Harcourt,4.827794,7.053577,0,Hostage Taking (Kidnapping),Private Citizens & Property,Race/Ethnicity Identified,British Citizens living in residences owned by Elf Aquitaine Oil Company,Unknown,Firearms,Unknown Gun Type,0,0
4/14/2000,2000,Apr,Fri,Delta,Warri,5.52372,5.753167,0,Hostage Taking (Kidnapping),Business,Gas/Oil/Electric,Noble Drilling Oil Company Employees,Unknown,Firearms,Unknown Gun Type,0,0
6/18/2000,2000,Jun,Sun,Delta,Escravos,5.60865,5.195451,0,Hostage Taking (Kidnapping),Private Citizens & Property,Laborer (General)/Occupation Identified,Nigerian Oil Workers,Unknown,Unknown,Unknown Weapon Type,0,0
7/31/2000,2000,Jul,Mon,Unknown,Unknown,0,0,0,Hostage Taking (Kidnapping),Business,Gas/Oil/Electric,Shell Oil Workers,Unknown,Unknown,Unknown Weapon Type,0,0
6/10/2001,2001,Jun,Sun,Bayelsa,Unknown,4.787538,6.083439,0,Bombing/Explosion,Government (General),Politician or Political Party Movement/Meeting/Rally,Bayelsa state assembly offices,Unknown,Explosives,Unknown Explosive Type,0,2
6/27/2001,2001,Jun,Wed,Rivers,Finima,4.42852,7.176234,0,Hostage Taking (Kidnapping),Business,Multinational Corporation,Forty-one Exxon Mobil workers,Militants,Unknown,Unknown Weapon Type,0,0
8/19/2001,2001,Aug,Sun,Lagos,Ikorodu,6.599187,3.50103,0,Facility/Infrastructure Attack,Police,"Police Building (headquarters, station, school)","Owutu Police Station in Ikorodu, Lagos, Nigeria",Odua Peoples' Congress (OPC),Firearms,Unknown Gun Type,0,0
12/17/2001,2001,Dec,Mon,Enugu,Abia,6.335508,7.411028,0,Armed Assault,Police,"Police Building (headquarters, station, school)","Police station in Abia, Nigeria",Movement for the Actualization of the Sovereign State of Biafra (MASSOB),Firearms,Unknown Gun Type,2,1
12/23/2001,2001,Dec,Sun,Oyo,Ibadan,7.386749,3.935909,0,Assassination,Government (General),Judge/Attorney/Court,Chief Bola Ige,People's Democratic Party (PDP),Firearms,Handgun,1,0
1/2/2002,2002,Jan,Wed,Taraba,Donga,7.722279,10.052053,0,Armed Assault,Private Citizens & Property,Named Civilian,"Jukuns, a tribe of the Central Nigerian state of Taraba",Unknown,Firearms,Unknown Gun Type,8,5
8/16/2002,2002,Aug,Fri,Ogun,Ayetoro,7.238744,3.035081,0,Assassination,Government (General),Politician or Political Party Movement/Meeting/Rally,"Alhaji Ahman Ahmed Sardaunna Pategi, Chairman of the Kwara State Chapter of Nigeria's ruling People's Democratic Party",Unknown,Firearms,Unknown Gun Type,2,1
9/22/2002,2002,Sep,Sun,Kano,Kano,11.974328,8.50026,0,Assassination,Government (General),Politician or Political Party Movement/Meeting/Rally,"Alhaji Isyaku Mohammed, National Vice-Chairman of the United Nigeria Peoples Party (UNPP)",Gunmen,Firearms,Unknown Gun Type,1,0
11/2/2002,2002,Nov,Sat,Plateau,Namaran,9.103389,9.748799,0,Armed Assault,Government (General),"Government Personnel (excluding police, military)",Nigerian government assistants on the return trip from Namaran village,Unknown,Melee,Knife or Other Sharp Object,3,0
11/15/2002,2002,Nov,Fri,Kwara,Ilorin,8.500509,4.551716,0,Bombing/Explosion,Journalists & Media,Newspaper Journalist/Staff/Facility,"National Pilot, a newspaper located in Ilorin",Unknown,Explosives,Unknown Explosive Type,0,5
12/13/2002,2002,Dec,Fri,Plateau,Jos,9.933381,8.885243,0,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,"Indiscriminate civilians in their village in Rim, Nigeria",Fulani extremists,Firearms,Unknown Gun Type,14,0
2/2/2003,2003,Feb,Sun,Lagos,Lagos,6.520917,3.379534,0,Bombing/Explosion,Private Citizens & Property,Race/Ethnicity Identified,"Nigerian Citizens at a street market on Idumagbo Avenue, Lagos Island, Lagos",Unknown,Explosives,Unknown Explosive Type,20,43
2/8/2003,2003,Feb,Sat,Imo,Owerri,5.486571,7.03632,0,Assassination,Private Citizens & Property,Political Party Member/Rally,"Chief Uche Ogbonnaya, ANPP candidate for Nigerian Senate seat for Orlu District, Imo State",Unknown,Firearms,Unknown Gun Type,1,0
4/8/2003,2003,Apr,Tue,Delta,Warri,5.52372,5.753167,0,Bombing/Explosion,Business,Gas/Oil/Electric,"Chevron Texaco's Escravo oil terminal in Warri, Nigeria",Unknown,Explosives,Unknown Explosive Type,0,0
4/14/2003,2003,Apr,Mon,Delta,Warri,5.52372,5.753167,0,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,Indiscriminate civilians in the Itsekiri village of Ugbuwangu,Unknown,Firearms,Unknown Gun Type,6,0
4/19/2003,2003,Apr,Sat,Unknown,Unknown,0,0,0,Hostage Taking (Barricade Incident),Business,Multinational Corporation,Transocean Inc.,Strikers,Unknown,Unknown Weapon Type,0,0
5/24/2003,2003,May,Sat,Delta,Warri,5.51737,5.752496,0,Bombing/Explosion,Utilities,Oil,"A pipeline owned by ChevronTexaco in Ajama, Nigeria",Ijaw extremists,Explosives,Unknown Explosive Type,0,0
7/27/2003,2003,Jul,Sun,Delta,Warri,5.52372,5.753167,0,Hostage Taking (Kidnapping),Business,Multinational Corporation,"Nigerian employee for ChevronTexaco in Warri, Nigeria",Egbema National Front,Firearms,Unknown Gun Type,0,0
11/19/2003,2003,Nov,Wed,Unknown,Unknown,0,0,0,Hostage Taking (Kidnapping),Business,Gas/Oil/Electric,Chevron Texaco Oil Company holdings oil platforms in Bayesla,Bini-Oru,Firearms,Unknown Gun Type,1,1
11/27/2003,2003,Nov,Thu,Delta,Warri,5.52372,5.753167,0,Hostage Taking (Kidnapping),Business,Construction,Bredero Shaw Company workers in Warri,Ijaw extremists,Firearms,Automatic or Semi-Automatic Rifle,0,0
1/7/2004,2004,Jan,Wed,Abuja,Abuja,9.066667,7.483333,0,Assassination,Military,"Military Personnel (soldiers, troops, officers, forces)",Retired Major-General Timothy Shelpidi,Unknown,Firearms,Unknown Gun Type,1,0
1/8/2004,2004,Jan,Thu,Rivers,Port Harcourt,4.814899,7.051907,0,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,Residents of Port Harcourt,Unknown,Firearms,Unknown Gun Type,8,2
1/9/2004,2004,Jan,Fri,Delta,Warri,5.52372,5.753167,0,Armed Assault,Maritime,Civilian Maritime,Ijaw Tribesmen aboard boats,Unknown,Firearms,Unknown Gun Type,18,0
3/8/2004,2004,Mar,Mon,Kogi,Lokoja,7.78811,6.729729,0,Assassination,Government (General),Election-related,"Nigerian Electoral Commission Chairman Philip Olorunnipa at his Akutupa Residence in Lokoja, Nigeria.",Unknown,Firearms,Unknown Gun Type,1,0
4/22/2004,2004,Apr,Thu,Delta,Warri,5.52372,5.753167,0,Armed Assault,Private Citizens & Property,Unnamed Civilian/Unspecified,Civilian boat passengers en route to Burutu from Warri,Itsekiri,Firearms,Unknown Gun Type,10,4
10/9/2004,2004,Oct,Sat,Borno,Kala-Balge,12.202254,14.459066,0,Armed Assault,Police,Police Patrol (including vehicles and convoys),Nigerian police patrol,Al-Sunna wal Jamma,Firearms,Automatic or Semi-Automatic Rifle,3,0
1/3/2005,2005,Jan,Mon,Edo,Iyanomo,6.152044,5.648732,0,Armed Assault,Military,"Military Personnel (soldiers, troops, officers, forces)",Soldiers on the Lagos-Iyanomo Highway near Iyanomo,Unknown,Firearms,Unknown Gun Type,0,1
5/5/2005,2005,May,Thu,Bauchi,Nabordo,10.219009,9.388505,0,Armed Assault,Utilities,Oil,A Nigerian Oil Pipeline near Nabordo,Unknown,Firearms,Unknown Gun Type,1,0
5/13/2005,2005,May,Fri,Sokoto,Sokoto,13.05702,5.245744,0,Armed Assault,Private Citizens & Property,Religion Identified,Shi i Muslims in Sokoto,Sunni Muslim extremists,Melee,Knife or Other Sharp Object,2,35
6/15/2005,2005,Jun,Wed,Delta,Warri,5.52372,5.753167,0,Hostage Taking (Kidnapping),Business,Gas/Oil/Electric,employees of B and B,Ijaw extremists,Unknown,Unknown Weapon Type,0,0
6/16/2005,2005,Jun,Thu,Bayelsa,Unknown,4.867777,5.898714,0,Hostage Taking (Kidnapping),Business,Multinational Corporation,Employees of B+B Nigeria Limited.,Unknown,Unknown,Unknown Weapon Type,0,0
9/22/2005,2005,Sep,Thu,Rivers,Akututuru district,4.561389,6.751944,0,Facility/Infrastructure Attack,Utilities,Oil,Unknown,Niger Delta People's Volunteer Force (NDPVF),Firearms,Unknown Gun Type,0,0
12/20/2005,2005,Dec,Tue,Rivers,Agba Okwan Asarama,4.858077,6.920913,0,Bombing/Explosion,Business,Gas/Oil/Electric,Shell Oil Pipeline in Nigeria,Unknown,Explosives,Unknown Explosive Type,11,0
12/21/2005,2005,Dec,Wed,Edo,Ehor,6.61451,5.985902,0,Bombing/Explosion,Business,Gas/Oil/Electric,Nigerian National Petroleum Corporation Pipeline in Edo State,Unknown,Explosives,Dynamite/TNT,5,0
12/26/2005,2005,Dec,Mon,Delta,Adeje,5.680984,5.76371,0,Bombing/Explosion,Business,Gas/Oil/Electric,Nigerian National Petroleum Corporation Pipeline in Delta State,Unknown,Explosives,Unknown Explosive Type,0,0
1/11/2006,2006,Jan,Wed,Unknown,Unknown,0,0,0,Hostage Taking (Kidnapping),Business,Gas/Oil/Electric,Royal Dutch Shell Company workers,Unknown,Firearms,Unknown Gun Type,0,0
1/24/2006,2006,Jan,Tue,Rivers,Port Harcourt,4.815554,7.049844,0,Armed Assault,Business,Gas/Oil/Electric,Agip oil facility,Unknown,Firearms,Unknown Gun Type,9,0
